,RequestBrand,SanctionBrand,similarityBrand,RequestId,RequestName,enterprise_id,SanctionName,RequestTrade,SanctionTrade,similarityTrade,RequestPlace,SanctionPlace,similarityPlace,boost_similarity
0,通发众好,通发众好,0.9999999999999999,a,成都通发众好物业有限责任公司自贡分公司,67142188-5,成都通发众好物业有限责任公司自贡分公司,物业,物业,1.0,成都自贡,成都自贡,1.0,0.9999999999999999
1,通发众好,众发,0.3598825928860294,a,成都通发众好物业有限责任公司自贡分公司,66775460-1,上海众发机械设备有限公司,,,0.0,,,0.0,0.3598825928860294
2,通发众好,众发,0.3598825928860294,a,成都通发众好物业有限责任公司自贡分公司,68092527-6,广昌县众发铜业有限公司,,,0.0,,,0.0,0.3598825928860294
3,通发众好,万发金铜,0.31889227190631586,a,成都通发众好物业有限责任公司自贡分公司,08261247-2,东莞市万发金铜工艺有限公司,,,0.0,,,0.0,0.31889227190631586
4,通发众好,百众,0.274211988173239,a,成都通发众好物业有限责任公司自贡分公司,39580632-3,安徽百众旅游客运有限公司,,,0.0,,,0.0,0.274211988173239
5,通发众好,众源,0.25039355554772114,a,成都通发众好物业有限责任公司自贡分公司,34009261-8,广东众源消防科技有限公司,,,0.0,,,0.0,0.25039355554772114
6,宝发,宝发,1.0,b,固原宝发农牧有限责任公司,79994516-X,固原宝发农牧有限责任公司,农牧,农牧,1.0000000000000002,固原,固原,1.0,1.0000000000000002
7,宝发,国久大,0.3060687385369841,b,固原宝发农牧有限责任公司,MA622B3E-4,国久大数据有限公司,,,0.0,,,0.0,0.3060687385369841
8,宝发,君乐宝乐时,0.2940353513015346,b,固原宝发农牧有限责任公司,73293874-X,石家庄君乐宝乐时乳业有限公司,,,0.0,,,0.0,0.2940353513015346
9,新乐天,君乐宝乐时,0.4184539441320918,j,东莞新乐天牙科器材有限公司,73293874-X,石家庄君乐宝乐时乳业有限公司,,,0.0,,,0.0,0.4184539441320918
10,新乐天,君乐宝乐时,0.4184539441320918,k,新乐天牙科器材公司,73293874-X,石家庄君乐宝乐时乳业有限公司,,,0.0,,,0.0,0.4184539441320918
11,宝发,宝源,0.2722585058055335,b,固原宝发农牧有限责任公司,21893058-5,保山宝源煤炭有限公司,,,0.0,,,0.0,0.2722585058055335
12,宝发,新发,0.27066238483835914,b,固原宝发农牧有限责任公司,25045518-X,无锡市新发集团有限公司,,,0.0,,,0.0,0.27066238483835914
13,新乐天,新发,0.5044933346800544,j,东莞新乐天牙科器材有限公司,25045518-X,无锡市新发集团有限公司,,,0.0,,,0.0,0.5044933346800544
14,新乐天,新发,0.5044933346800544,k,新乐天牙科器材公司,25045518-X,无锡市新发集团有限公司,,,0.0,,,0.0,0.5044933346800544
15,宝发,宝利,0.26577762673658145,b,固原宝发农牧有限责任公司,05861980-X,宝利包装材料丹阳有限公司,,,0.0,,,0.0,0.26577762673658145
16,宝发,宝科,0.26484073996082363,b,固原宝发农牧有限责任公司,73885436-0,南京宝科眼镜有限公司,,,0.0,,,0.0,0.26484073996082363
17,宝发,宝钢,0.2639471637242681,b,固原宝发农牧有限责任公司,MA3C6LAL-9,济宁宝钢气体有限公司,,,0.0,,,0.0,0.2639471637242681
18,宝发,宝钢,0.2639471637242681,b,固原宝发农牧有限责任公司,57241911-4,宝钢湛江钢铁有限公司,,,0.0,,,0.0,0.2639471637242681
19,宝发,宝钢,0.2639471637242681,b,固原宝发农牧有限责任公司,13349471-0,上海宝钢铸造有限公司,,,0.0,,,0.0,0.2639471637242681
20,富士康,富士康,0.9999999999999998,c,富士康电子工业发展昆山有限公司,60828043-4,富士康电子工业发展（昆山）有限公司,电子工业发展,电子工业发展,1.0000000000000002,昆山,昆山,1.0000000000000002,1.0
21,富士康,富士康,0.9999999999999998,c,富士康电子工业发展昆山有限公司,79036309-1,富士康精密电子（烟台）有限公司,,,0.0,,,0.0,0.9999999999999998
22,富士康,富士,0.7171153577499341,c,富士康电子工业发展昆山有限公司,79036309-2,富士软件科技（山东）有限公司,,,0.0,,,0.0,0.7171153577499341
23,富士康,天士力,0.33754797141208226,c,富士康电子工业发展昆山有限公司,23944464-X,天士力医药集团股份有限公司,,,0.0,,,0.0,0.33754797141208226
24,丹力,天士力,0.3419616976455355,g,广州丹力酒业有限公司,23944464-X,天士力医药集团股份有限公司,,,0.0,,,0.0,0.3419616976455355
25,富士康,金土地,0.311798905569224,c,富士康电子工业发展昆山有限公司,MA62B5QM-9,广安金土地开发投资（集团）有限公司,,,0.0,,,0.0,0.311798905569224
26,富士康,波士顿,0.2759417508553179,c,富士康电子工业发展昆山有限公司,58379095-5,波士顿电池（江苏）有限公司,,,0.0,,,0.0,0.2759417508553179
27,富士康,中土勘察,0.25061581649459996,c,富士康电子工业发展昆山有限公司,15439857-6,中土集团福州勘察设计研究院有限公司,,,0.0,,,0.0,0.25061581649459996
28,华科大,华科大,0.9999999999999999,d,广东华科大建筑技术开发有限公司,MA51BY4D-1,广东华科大建筑技术开发有限公司,建筑技术开发,建筑技术开发,1.0,广东,广东,0.9999999999999998,0.9999999999999999
