,RequestBrand,SanctionBrand,similarityBrand,RequestId,RequestName,enterprise_id,SanctionName,RequestTrade,SanctionTrade,similarityTrade,RequestPlace,SanctionPlace,similarityPlace,boost_similarity
0,通发众好,通发众好,0.9999999999999999,a,成都通发众好物业有限责任公司自贡分公司,67142188-5,成都通发众好物业有限责任公司自贡分公司,物业,物业,1.0,成都自贡,成都自贡,1.0,0.9999999999999999
6,宝发,宝发,1.0,b,固原宝发农牧有限责任公司,79994516-X,固原宝发农牧有限责任公司,农牧,农牧,1.0000000000000002,固原,固原,1.0,1.0000000000000002
20,富士康,富士康,0.9999999999999998,c,富士康电子工业发展昆山有限公司,60828043-4,富士康电子工业发展（昆山）有限公司,电子工业发展,电子工业发展,1.0000000000000002,昆山,昆山,1.0000000000000002,1.0
21,富士康,富士康,0.9999999999999998,c,富士康电子工业发展昆山有限公司,79036309-1,富士康精密电子（烟台）有限公司,,,0.0,,,0.0,0.9999999999999998
22,富士康,富士,0.7171153577499341,c,富士康电子工业发展昆山有限公司,79036309-2,富士软件科技（山东）有限公司,,,0.0,,,0.0,0.7171153577499341
28,华科大,华科大,0.9999999999999999,d,广东华科大建筑技术开发有限公司,MA51BY4D-1,广东华科大建筑技术开发有限公司,建筑技术开发,建筑技术开发,1.0,广东,广东,0.9999999999999998,0.9999999999999999
31,能士,能士,1.0,e,宁波能士通信设备有限公司,72049850-5,宁波能士通信设备有限公司,通信设备,通信设备,0.9999999999999998,宁波,宁波,0.9999999999999998,1.0
32,能士,乐软能士,0.6048841899280493,e,宁波能士通信设备有限公司,39592535-7,乐软能士（湖南）科技有限公司,,,0.0,,,0.0,0.6048841899280493
41,全思,全思,0.9999999999999998,f,浙江全思科技股份有限公司,MA29FRYJ-6,浙江全思科技股份有限公司,科技股份,科技股份,1.0,浙江,浙江,1.0,0.9999999999999998
46,丹力,丹力,1.0,g,广州丹力酒业有限公司,58186984-6,广州丹力酒业有限公司,酒业,酒业,1.0,广州,广州,0.9999999999999999,1.0
52,电信,电信,1.0,h,北京市电信工程设计院有限公司广州分公司,10150788-X,北京市电信工程设计院有限公司,工程设计院,工程设计院,1.0,北京市广州,北京市,0.6128635770504275,0.9612863577050428
53,电信,电信,1.0,h,北京市电信工程设计院有限公司广州分公司,MA5AQBWX-0,北京市电信工程设计院有限公司广州分公司,工程设计院,工程设计院,1.0,北京市广州,北京市广州,1.0,1.0
54,电信,电信,1.0,h,北京市电信工程设计院有限公司广州分公司,10194006-9,北京电信规划设计院有限公司,,,0.0,,,0.0,1.0
61,兴宏,兴宏,0.9999999999999999,i,云南牟定兴宏铜业有限公司,66829081-0,云南牟定兴宏有色金属有限公司,,,0.0,云南牟定,云南牟定,0.9999999999999998,0.9999999999999999
62,兴宏,兴宏,0.9999999999999999,i,云南牟定兴宏铜业有限公司,76042189-5,云南牟定兴宏铜业有限公司,铜业,铜业,1.0000000000000002,云南牟定,云南牟定,0.9999999999999998,0.9999999999999999
63,兴宏,兴富,0.6858257928031627,i,云南牟定兴宏铜业有限公司,MA52UKBW-8,四会市兴富水产养殖有限公司,,,0.0,,,0.0,0.6858257928031627
67,新乐天,新乐天,1.0,j,东莞新乐天牙科器材有限公司,32953598-3,东莞新乐天牙科器材有限公司,牙科器材,牙科器材,1.0000000000000002,东莞,东莞,0.9999999999999998,1.0
68,新乐天,新乐天,1.0,k,新乐天牙科器材公司,32953598-3,东莞新乐天牙科器材有限公司,牙科器材,牙科器材,1.0000000000000002,,,0.0,1.0
69,乐天,新乐天,0.7267789100956722,l,新乐天,32953598-3,东莞新乐天牙科器材有限公司,,,0.0,,,0.0,0.7267789100956722
