enterprise_name,legal_representative,contact_number,province,city,address,email,unified_social_credit_code,organization_code
上海舒而爽卫生用品有限公司,张林华,021-58595386；021-58590603,上海,上海市,上海市浦东新区宣秋路466号3幢B区,,91310115552963956E,55296395-6
东莞市艺科口腔材料有限公司,洪剑,—,广东,东莞市,东莞市常平镇元江元新南村金泰路3号,,91441900MA4W6LEQ5L,MA4W6LEQ-5
东莞新乐天牙科器材有限公司,关悦,—,广东,东莞市,东莞市万江区共联社区银河路13号4楼,498027910@qq.com,91441900329535983L,32953598-3
东阳市亚新齿科器材有限公司,吴红英,0579-86636007；0579-86621066；0579-86645484,浙江,金华市,浙江省东阳市白云街道江滨南街1007号1604室,3003672549@qq.com,913307837477152905,74771529-0
东阳市昌成卫生材料有限公司,陈叔芳,—,浙江,金华市,浙江省东阳经济开发区华店功能区华店街7号,,91330783327872556E,32787255-6
乌鲁木齐市鑫康洁卫生材料制造有限公司,丁粉红,0991-4870067,新疆,乌鲁木齐市,新疆乌鲁木齐市西山兵团乌鲁木齐工业园区文竹一街2-32号,kangqiang0321@126.com; kangqiang@qq.com,9165010569781488XQ,69781488-X
南通斯瑞医用有限公司,蔡施祥,0513-85512391,江苏,南通市,南通市崇川区跃龙南路182号A座,1048249946@qq.com; info.strip@stripmed.com,913206027431265606,74312656-0
南通新东方医用敷料有限公司,谢亚华,0513-85960355,江苏,南通市,南通开发区开兴路6号,1051003142@qq.com,91320691581056773J,58105677-3
南通泰倍护防护用品有限公司,王锦雨,0513-81991203,江苏,南通市,如东经济开发区鸭绿江路118号,hkszjt@126.com; 1014306516@qq.com,91320623MA1N3XGC6X,MA1N3XGC-6
南通祥鑫医疗用品有限公司,万红伟,—,江苏,南通市,海安市墩头镇新海村24组,1283068@qq.com,91320621MA1X8FNC8W,MA1X8FNC-8
安徽北辰医疗用品有限公司淮南分公司,王怀利,—,安徽,淮南市,淮南市田家庵区正发商城A区底层东1户,,91340400MA2N352W6B,MA2N352W-6
安徽昌盛医疗用品有限公司,马昌林,0550-7041496,安徽,滁州市,安徽省天长市平安南路东侧由由小区一层,ahcsyl@163.com; 65416313@qq.com; 95416313@qq.com; 2859052901@qq.com,9134118176903017XM,76903017-X
安徽百通达科技医疗用品有限公司,王友,0557-6602888,安徽,宿州市,宿州市灵璧县经济开发区北部新区,12581142@qq.com,91341323MA2NWL943G,MA2NWL94-3
安徽长勤医疗用品有限公司,温友学,0558-2222311,安徽,阜阳市,阜阳开发区依心明园裕兴路80号,1766401354@qq.com; 653042952@qq.com,91341200MA2MX4FG8G,MA2MX4FG-8
封开县培鑫医用材料有限公司,陈昱行,0758-6667168,广东,肇庆市,封开县江口镇东方二路129号,pasion@pasion.com.cn; jiangxupei@126.com,914412257398582324,73985823-2
常州斯纳琪护理用品有限公司,袁建良,0519-83271224,江苏,常州市,江苏武进经济开发区锦华路9号,admin@czsnug.com,913204125618454412,56184544-1
常州舒心卫生用品有限公司,尤金生,—,江苏,常州市,常州市金坛区金城镇黄庄小桥168号,550810@qq.com; 13861110118@126.com,913204130695057362,06950573-6
常熟一诺医疗用品有限公司,周星,0512-52551649；0512-52559309；0512-52559099,江苏,苏州市,江苏省常熟市支塘镇,gaodm@csyvsy.com,91320581713210163A,71321016-3
常熟伟盛医疗用品有限公司,晋伟文,0512-52559251,江苏,苏州市,常熟市支塘镇北园区泰康路1-3号6幢,jinweiwen88@126.com; sales1@wilsonjin.com; salesl@wilsonjin.com,9132058106185865XW,06185865-X
无锡好得利医用卫生新材料有限公司,陈章华,0510-83383366；0510-83385377,江苏,无锡市,无锡惠山经济开发区前洲配套区新石路12号,jstz@tianzhang.net.cn; wxtzfz2009@163.com,9132020607103649X2,07103649-X
杭州凯源医疗用品有限公司,徐华君,—,浙江,杭州市,浙江省杭州市余杭区闲林街道闲兴路21号2楼,,91330110MA28X7HC36,MA28X7HC-3
杭州凯跃卫生用品有限公司,方英,0571-69967890,浙江,杭州市,浙江省杭州市桐庐县桐庐经济开发区柴梅路66号,,91330122MA2B0AAG2Q,MA2B0AAG-2
杭州康德医用敷料有限公司,赵繁强,0571-86157522,浙江,杭州市,杭州余杭区星桥街道丁山村,kdzfqiang@126.com,91330110720097322X,72009732-2
沈阳博维医疗用品有限公司,张永良,024-87807117；024-27757117；024-27751117；024-25737117,辽宁,沈阳市,辽中县茨榆坨镇五委,13610812111@163.com; 729028884@qq.com,912101225838887685,58388876-8
沈阳奥力医用设备制造有限公司,董绍龙,—,辽宁,沈阳市,辽宁省沈阳市沈北新区虎石台镇双楼子村1045号,2575118112@qq.com; 89793427@qq.com; 358794652@qq.com,91210114313291793N,31329179-3
沈阳达仕卫生用品有限公司,李丽,—,辽宁,沈阳市,沈阳市苏家屯区临湖街道办事处王秀村1号,1264598625@qq.com; zxs1975@163.com; 1013819943@qq.com; zsx1975@163.com,91210111569443287D,56944328-7
河南天和卫生材料有限公司,齐中宽,—,河南,郑州市,郑州市高新区莲花街338号10号楼6层35号,214420774@qq.com,914101007822127950,78221279-5
河南永泰卫生材料有限公司,仝成,—,河南,周口市,淮阳县工业园区腾飞路南侧,2508657197@qq.com,9141162675385131XE,75385131-X
河南永祥卫材有限公司,朱念伟,—,河南,安阳市,滑县慈周寨镇朱娘寨村,369801654@qq.com; 978055919@qq.com,91410526MA4101Y47U,MA4101Y4-7
河南省豫北卫材有限公司,毛坎轩,0373-8816228；0373-8848993；0373-8818228；0373-8820388；0373-8816650；0373-8816651；0373-8816652,河南,新乡市,长垣县蒲东工业园区,yubeiweicai@163.com,91410728706620746B,70662074-6
上海成农饲料有限公司,布红军,021-58188050；021-58185100,上海,上海市,浦东新区宣桥镇项埭村三组,shcnrz@foxmail.com; 285245041@qq.com; 514195447@qq.com,91310115765304735J,76530473-5
上海成大饲料有限公司,文江明,021-57648801；021-59548009；021-67220016,上海,上海市,上海市金山区枫泾镇环东一路88号,gulihua-48@163.com,913101167456300748,74563007-4
中山爱莉宠物饲料有限公司,毕家伟,0760-85330088；0760-89933422；0760-89933966,广东,中山市,中山市火炬开发区欧亚路三号3层,46595899@QQ.COM; 46595899@qq.com,914420005591393452,55913934-5
乖宝宠物食品集团有限责任公司,秦华,0635-7076058；0635-5085266；0635-2937919；0635-7077955,山东,聊城市,聊城市经济技术开发区牡丹江路8号,chenxuejiao@gambolpet.com; lizhen@gambolpet.com; ZPLYSH@163.com; hanziguan1968@163.com; luchunxiao@gambolpet.com,91371500790384538P,79038453-8
光泽县泽农生物科技有限公司,孙政宇,—,福建,南平市,光泽县鸾凤乡中坊村1层1#、2#、3#,,91350723315339201C,31533920-1
