企业名称,法定代表人,联系电话,省份,城市,地址,邮箱,网址,经营范围,企业类型,注册资本（万元）,币种,成立日期,统一社会信用代码,所属行业,行业代码,是否有进出口贸易,组织机构代码,经营状态,股票代码,公司名称,英文名称,公司网址,上市市场,公司业务,港股股份数目,主席,主要持股人,董事,公司秘书,注册办事处,公司总部,股份过户登记处,核数师,主要往来银行,法律顾问,电邮地址,区县,参保人数,注册资本,统一信用代码,公司代码,上市板块,A股代码,A股简称,A股上市日期,A股总股本(万股),A股流通股本(万股),B股代码,B股简称,B股上市日期,B股总股本(万股),B股流通股本(万股),发行价格,主承销商,公司简介,主营业务
  上海舒而爽卫生用品有限公司,  张林华,  021-58595386；021-58590603,  上海,  上海市,  上海市浦东新区宣秋路466号3幢B区,  ,  ,  成人纸尿裤和隔尿裤的生产，卫生用品销售。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,  有限责任公司(自然人投资或控股),  50,  人民币,  2010-04-06,  91310115552963956E,  C 制造业,  2770,  ,  55296395-6,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  东莞市艺科口腔材料有限公司,  洪剑,  —,  广东,  东莞市,  东莞市常平镇元江元新南村金泰路3号,  ,  http://www.yikeyichi.com,  加工、产销:口腔材料、义齿。,  有限责任公司(自然人投资或控股),  150,  人民币,  2017-01-23,  91441900MA4W6LEQ5L,  C 制造业,  2770,  ,  MA4W6LEQ-5,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  东莞新乐天牙科器材有限公司,  关悦,  —,  广东,  东莞市,  东莞市万江区共联社区银河路13号4楼,  498027910@qq.com,  ,  生产和销售定制式义齿；从事II类：6855口腔科设备及器具、6857消毒和灭菌设备及器具、6863口腔科材料和III类：6863口腔科材料的批发和进出口业务（凭有效许可证经营，涉限涉证及涉国家宏观调控行业除外，涉及配额许可证管理、专项规定管理的按有关规定办理）。(依法须经批准的项目，经相关部门批准后方可开展经营活动),  有限责任公司(自然人投资或控股),  434.2114,  人民币,  2015-01-26,  91441900329535983L,  C 制造业,  2770,  ,  32953598-3,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  东阳市亚新齿科器材有限公司,  吴红英,  0579-86636007；0579-86621066；0579-86645484,  浙江,  金华市,  浙江省东阳市白云街道江滨南街1007号1604室,  3003672549@qq.com,  www.yaxinsc.com,  第一、二、三类医疗器械、消毒用品(不含危险化学品、监控化学品、易制毒化学品)批发、零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,  有限责任公司(自然人投资或控股),  200,  人民币,  2002-10-30,  913307837477152905,  C 制造业,  2770,  ,  74771529-0,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  东阳市昌成卫生材料有限公司,  陈叔芳,  —,  浙江,  金华市,  浙江省东阳经济开发区华店功能区华店街7号,  ,  ,  一般项目：第一类医疗器械生产；第一类医疗器械销售；第二类医疗器械销售；日用口罩（非医用）生产；日用口罩（非医用）销售；医用口罩批发；医用口罩零售；医护人员防护用品批发；医护人员防护用品零售；劳动保护用品销售；消毒剂销售（不含危险化学品）；卫生用品销售(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：货物进出口；第二类医疗器械生产；医用口罩生产；消毒剂生产（不含危险化学品）；卫生用品和一次性使用医疗用品生产(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准,  有限责任公司(自然人投资或控股),  50,  人民币,  2015-01-14,  91330783327872556E,  C 制造业,  2770,  是,  32787255-6,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  乌鲁木齐市鑫康洁卫生材料制造有限公司,  丁粉红,  0991-4870067,  新疆,  乌鲁木齐市,  新疆乌鲁木齐市西山兵团乌鲁木齐工业园区文竹一街2-32号,  kangqiang0321@126.com; kangqiang@qq.com,  ,  生产、销售:二类:医用卫生材料及敷料。,  有限责任公司(自然人独资),  50,  人民币,  2009-12-24,  9165010569781488XQ,  C 制造业,  2770,  ,  69781488-X,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  南通斯瑞医用有限公司,  蔡施祥,  0513-85512391,  江苏,  南通市,  南通市崇川区跃龙南路182号A座,  1048249946@qq.com; info.strip@stripmed.com,  http://724140.71ab.com,"  二类医疗器械的生产;消毒类产品的研制和开发;五金产品、机械设备的加工制造;自营和代理各类商品及技术的进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",  有限责任公司(自然人投资或控股),  255,  人民币,  2002-10-21,  913206027431265606,  C 制造业,  2770,  是,  74312656-0,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  南通新东方医用敷料有限公司,  谢亚华,  0513-85960355,  江苏,  南通市,  南通开发区开兴路6号,  1051003142@qq.com,  ,  棉纱布加工、销售。,  有限责任公司(自然人独资),  100,  人民币,  2011-08-22,  91320691581056773J,  C 制造业,  2770,  ,  58105677-3,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  南通泰倍护防护用品有限公司,  王锦雨,  0513-81991203,  江苏,  南通市,  如东经济开发区鸭绿江路118号,  hkszjt@126.com; 1014306516@qq.com,  ,"  许可项目:医用口罩生产(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以审批结果为准)一般项目:日用口罩(非医用)生产;日用口罩(非医用)销售;医用口罩零售;医用口罩批发;电子元器件制造;电子元器件批发(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)",  有限责任公司(自然人独资),  500,  人民币,  2016-12-16,  91320623MA1N3XGC6X,  C 制造业,  2770,  ,  MA1N3XGC-6,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  南通祥鑫医疗用品有限公司,  万红伟,  —,  江苏,  南通市,  海安市墩头镇新海村24组,  1283068@qq.com,  http://www.ntxxyl.com,  一类医疗器械、服装、针纺织品、涤纶缝纫线、无纺布制品生产、销售;二类医疗器械、保健食品、预包装食品兼散装食品、日用品百货、电子产品、五金、建筑材料、化妆品、水处理设备销售。,  有限责任公司(自然人投资或控股),  500,  人民币,  2018-09-26,  91320621MA1X8FNC8W,  C 制造业,  2770,  ,  MA1X8FNC-8,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
